"feature id","feature label","shid","geoid","Employment Occupation Management (2020-2024)","Employment Occupation Business and Finance (2020-2024)","Employment Occupation Computer and Mathematical (2020-2024)","Employment Occupation Architecture and Engineering (2020-2024)","Employment Occupation Life, Physical, and Social Science (2020-2024)","Employment Occupation Community and Social Service (2020-2024)","Employment Occupation Legal (2020-2024)","Employment Occupation Education, Training and Library (2020-2024)","Employment Occupation Arts, Design, Entertainment, Sports and Media (2020-2024)","Employment Occupation Health Diagnosis and Treating Practitioners (2020-2024)","Employment Occupation Health Technologist and Technicians (2020-2024)","Employment Occupation Healthcare Support (2020-2024)","Employment Occupation Fire Fighting and Prevention (2020-2024)","Employment Occupation Law Enforcement (2020-2024)","Employment Occupation Food Preparation and Serving (2020-2024)","Employment Occupation Building, Grounds Cleaning, and Maintenance (2020-2024)","Employment Occupation Personal Care and Service (2020-2024)","Employment Occupation Sales (2020-2024)","Employment Occupation Office and Administrative Support (2020-2024)","Employment Occupation Farming, Fishing and Forestry (2020-2024)","Employment Occupation Construction and Extraction (2020-2024)","Employment Occupation Installation, Maintenance, and Repair (2020-2024)","Employment Occupation Production (2020-2024)","Employment Occupation Transportation (2020-2024)","Employment Occupation Material Moving (2020-2024)"
"publicpolygonfeature:5:43550","ZIP Code 33573","country:us/state:fl/zip:33573","33573","1551","1058","238","227","25","89","155","609","160","439","418","368","532","241","213","136","122","1602","1191","0","264","328","281","227","259"
"publicpolygonfeature:5:43551","ZIP Code 33578","country:us/state:fl/zip:33578","33578","4136","2721","1523","656","126","459","751","1342","294","1622","778","937","255","428","1660","1173","1125","3263","4323","47","1446","552","847","1023","1309"
"publicpolygonfeature:5:43552","ZIP Code 33579","country:us/state:fl/zip:33579","33579","2822","2619","1793","289","59","434","128","1682","221","1157","676","527","501","311","504","692","249","3309","3326","73","1670","425","457","648","1108"
"publicpolygonfeature:5:43553","ZIP Code 33584","country:us/state:fl/zip:33584","33584","1561","697","284","221","129","332","430","562","307","471","281","358","329","83","645","636","337","1007","1876","26","689","569","567","465","518"
"publicpolygonfeature:5:43555","ZIP Code 33604","country:us/state:fl/zip:33604","33604","2139","1438","672","385","172","363","400","644","352","618","319","752","256","12","1267","829","609","2093","2710","62","1071","497","673","987","812"
"publicpolygonfeature:5:43556","ZIP Code 33592","country:us/state:fl/zip:33592","33592","605","450","149","70","14","102","25","264","60","259","42","242","133","19","128","189","94","590","459","31","441","319","293","334","209"
"publicpolygonfeature:5:43557","ZIP Code 33594","country:us/state:fl/zip:33594","33594","2294","1413","1034","504","58","398","217","977","300","1173","645","715","271","192","976","624","533","2175","1895","256","400","572","601","968","203"
"publicpolygonfeature:5:43558","ZIP Code 33596","country:us/state:fl/zip:33596","33596","1722","1262","668","261","216","232","173","974","230","984","250","292","309","166","469","374","216","2299","1558","0","219","382","299","226","434"
"publicpolygonfeature:5:43559","ZIP Code 33605","country:us/state:fl/zip:33605","33605","750","571","335","36","5","151","143","166","139","224","61","229","138","67","507","313","120","586","790","72","610","180","301","408","310"
"publicpolygonfeature:5:43560","ZIP Code 33606","country:us/state:fl/zip:33606","33606","2696","1595","699","279","193","158","455","655","398","1531","76","96","178","32","727","92","369","1467","937","0","159","113","125","130","198"
"publicpolygonfeature:5:43561","ZIP Code 33597","country:us/state:fl/zip:33597","33597","414","85","16","48","26","0","74","180","0","189","135","106","91","33","188","272","207","543","483","106","900","219","203","113","137"
"publicpolygonfeature:5:43562","ZIP Code 33598","country:us/state:fl/zip:33598","33598","1405","842","576","78","61","82","83","347","179","519","126","298","140","101","602","684","441","1177","1060","943","1362","337","400","861","647"
"publicpolygonfeature:5:43563","ZIP Code 33602","country:us/state:fl/zip:33602","33602","2719","1823","682","194","189","154","402","445","431","1439","137","147","27","78","801","144","351","1717","1147","158","112","25","157","432","121"
"publicpolygonfeature:5:43564","ZIP Code 33607","country:us/state:fl/zip:33607","33607","1635","1732","1042","137","31","270","299","380","303","701","211","519","190","218","879","734","159","1297","1581","52","389","507","750","797","410"
"publicpolygonfeature:5:43565","ZIP Code 33609","country:us/state:fl/zip:33609","33609","1926","1014","431","323","168","67","592","392","324","784","81","62","12","74","474","170","277","1298","973","78","259","67","393","201","79"
"publicpolygonfeature:5:43566","ZIP Code 33610","country:us/state:fl/zip:33610","33610","1547","1379","1133","180","41","353","177","1019","264","399","643","594","125","46","1350","937","299","1806","2795","109","1788","661","934","1132","1215"
"publicpolygonfeature:5:43567","ZIP Code 33611","country:us/state:fl/zip:33611","33611","3538","2952","883","364","93","324","587","1094","683","1501","92","284","148","49","979","287","588","2648","1672","116","354","222","431","295","374"
"publicpolygonfeature:5:43568","ZIP Code 33612","country:us/state:fl/zip:33612","33612","1192","1182","461","279","162","293","118","869","175","613","441","922","138","37","1262","1834","528","2010","2601","9","3102","944","885","868","1583"
"publicpolygonfeature:5:43569","ZIP Code 33625","country:us/state:fl/zip:33625","33625","1519","1490","721","469","90","289","314","699","338","917","302","202","124","36","878","640","370","1455","1824","0","1154","436","552","971","269"
"publicpolygonfeature:5:43570","ZIP Code 33613","country:us/state:fl/zip:33613","33613","1204","871","675","315","203","310","96","1201","210","871","277","955","123","46","1351","1608","743","1584","2863","12","1743","375","426","758","1166"
"publicpolygonfeature:5:43571","ZIP Code 33614","country:us/state:fl/zip:33614","33614","1558","1058","687","253","54","349","252","646","342","470","576","1429","131","10","1437","1465","1432","2047","2857","102","2058","786","1013","2064","1312"
