"feature id","feature label","shid","geoid","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:60489","ZIP Code 80439","country:us/state:co/zip:80439","80439","531","363","10","388","500","182","194","672","133","81","214","3","274","1184","64","104","921","44","90","394"
"publicpolygonfeature:5:60490","ZIP Code 80440","country:us/state:co/zip:80440","80440","118","23","11","13","82","0","10","49","3","2","27","15","41","79","309","14","97","2","3","5"
"publicpolygonfeature:5:60494","ZIP Code 80444","country:us/state:co/zip:80444","80444","139","16","0","615","6","18","3","6","13","14","30","0","3","20","195","0","51","55","12","2"
"publicpolygonfeature:5:60496","ZIP Code 80602","country:us/state:co/zip:80602","80602","287","293","46","78","616","38","158","359","46","32","23","26","334","540","0","83","689","4241","2","178"
"publicpolygonfeature:5:60498","ZIP Code 80448","country:us/state:co/zip:80448","80448","11","0","0","11","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0"
"publicpolygonfeature:5:60499","ZIP Code 80449","country:us/state:co/zip:80449","80449","22","5","0","1","17","0","0","0","0","0","0","0","2","70","7","2","2","7","0","0"
"publicpolygonfeature:5:60502","ZIP Code 80456","country:us/state:co/zip:80456","80456","0","0","8","0","7","0","3","2","1","0","0","0","2","4","13","7","0","0","0","1"
"publicpolygonfeature:5:60503","ZIP Code 80457","country:us/state:co/zip:80457","80457","32","2","0","3","16","0","0","5","1","5","0","0","9","13","0","3","11","0","0","2"
"publicpolygonfeature:5:60513","ZIP Code 80465","country:us/state:co/zip:80465","80465","492","248","11","138","152","11","16","125","55","22","31","62","124","372","48","31","278","106","0","100"
"publicpolygonfeature:5:60514","ZIP Code 80476","country:us/state:co/zip:80476","80476","8","0","0","0","3","0","0","1","0","0","0","0","1","0","2","0","0","2","0","2"
"publicpolygonfeature:5:60519","ZIP Code 80470","country:us/state:co/zip:80470","80470","49","48","0","3","83","3","10","1","1","7","27","0","26","154","2","10","213","9","2","29"
