"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:63571","ZIP Code 94103","country:us/state:ca/zip:94103","94103","1461","2210","4430","4118","1404","10251","5849","1725","0.9174714862887278","392297.9158","13125","3882","2950","660","1065","11"
"publicpolygonfeature:5:63572","ZIP Code 94104","country:us/state:ca/zip:94104","94104","72","110","37","36","0","215","11","13","0.6214477561223483","455868","52","11","100","0","13","0"
"publicpolygonfeature:5:63573","ZIP Code 94105","country:us/state:ca/zip:94105","94105","60","368","306","742","438","4396","5739","332","0.6526501960806426","442745","8624","554","1207","124","208","0"
"publicpolygonfeature:5:63574","ZIP Code 94107","country:us/state:ca/zip:94107","94107","460","1309","1305","2027","675","9278","10183","644","0.7645154537608734","314430.7456","17063","1412","2047","184","460","0"
"publicpolygonfeature:5:63575","ZIP Code 94108","country:us/state:ca/zip:94108","94108","632","1822","1452","837","366","3023","1572","423","0.8197594034967074","457532.3497","3231","1253","978","103","320","0"
"publicpolygonfeature:5:63576","ZIP Code 94109","country:us/state:ca/zip:94109","94109","1543","3350","4033","6087","1878","17361","12453","1501","0.8059223877613547","393587.8993","22737","4166","6065","285","1216","48"
"publicpolygonfeature:5:63577","ZIP Code 94110","country:us/state:ca/zip:94110","94110","2143","4097","6014","5788","2283","18214","14508","3784","0.8914844844328687","172748.2916","26905","4931","4574","1766","2018","0"
"publicpolygonfeature:5:63578","ZIP Code 94123","country:us/state:ca/zip:94123","94123","394","185","715","1370","395","9499","6496","663","0.8235728082697554","192602.1484","11494","422","3176","340","323","0"
"publicpolygonfeature:5:63579","ZIP Code 94124","country:us/state:ca/zip:94124","94124","2012","3362","6015","4677","1775","4235","1959","2616","0.7457102145705657","80517.6216","5474","4245","3119","1095","1521","10"
"publicpolygonfeature:5:63580","ZIP Code 94127","country:us/state:ca/zip:94127","94127","401","497","1101","1964","945","5694","5210","610","0.9012980033604467","76592.7368","7340","755","1276","210","400","0"
"publicpolygonfeature:5:63581","ZIP Code 94128","country:us/state:ca/zip:94128","94128","0","0","0","0","0","0","0","0","0.4489946429780391","67894","0","0","0","0","0","0"
"publicpolygonfeature:5:63582","ZIP Code 94129","country:us/state:ca/zip:94129","94129","2","9","151","134","94","1203","945","157","0.7720979176452221","122942.3527","1465","237","259","30","127","0"
"publicpolygonfeature:5:63583","ZIP Code 94130","country:us/state:ca/zip:94130","94130","202","33","342","347","185","480","100","186","0.7514892967071242","71407","474","287","340","71","115","0"
"publicpolygonfeature:5:63584","ZIP Code 94131","country:us/state:ca/zip:94131","94131","316","301","1363","2100","1160","8282","8891","610","0.32008656572214783","106124.1582","13239","1352","1587","220","390","0"
"publicpolygonfeature:5:63585","ZIP Code 94132","country:us/state:ca/zip:94132","94132","657","899","2154","3041","1272","6895","4170","1142","0.8023777107172855","56641.046","7373","2171","2459","365","777","16"
"publicpolygonfeature:5:63586","ZIP Code 94303","country:us/state:ca/zip:94303","94303","2068","2945","5249","4711","1544","6654","9361","3191","0.8327779533295856","59409.9646","12562","5203","3054","1428","1763","48"
