"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:60496","ZIP Code 80602","country:us/state:co/zip:80602","80602","686","1226","5791","6127","2773","8373","4277","3416","0.5814263910642193","10686.2128","12343","3430","4936","1265","2151","26"
"publicpolygonfeature:5:60498","ZIP Code 80448","country:us/state:co/zip:80448","80448","0","0","0","0","0","0","0","0","0.34504644013003216","2239.2848","0","0","0","0","0","0"
"publicpolygonfeature:5:60499","ZIP Code 80449","country:us/state:co/zip:80449","80449","12","0","140","456","23","172","108","137","0.5804822921683036","1027.751","77","10","103","6","131","0"
"publicpolygonfeature:5:60502","ZIP Code 80456","country:us/state:co/zip:80456","80456","0","0","127","87","45","77","159","78","0.697284810732214","985","166","0","41","41","37","0"
"publicpolygonfeature:5:60503","ZIP Code 80457","country:us/state:co/zip:80457","80457","9","0","54","39","0","70","70","0","0.7770329406818431","5839.945","107","21","66","0","0","0"
"publicpolygonfeature:5:60513","ZIP Code 80465","country:us/state:co/zip:80465","80465","121","194","2087","1972","1036","4137","2621","1225","0.8101699332963013","11618.2858","5338","1012","1828","652","573","0"
"publicpolygonfeature:5:60514","ZIP Code 80476","country:us/state:co/zip:80476","80476","0","0","15","30","10","74","25","0","0.6150732703104684","3114","52","8","36","0","0","0"
"publicpolygonfeature:5:60519","ZIP Code 80470","country:us/state:co/zip:80470","80470","63","0","898","604","183","852","500","299","0.694405314019123","2706.3807","1070","292","189","102","197","0"
"publicpolygonfeature:5:60523","ZIP Code 80475","country:us/state:co/zip:80475","80475","0","0","0","6","33","0","0","18","0.4139817527430976","2423.362","0","0","15","0","18","0"
"publicpolygonfeature:5:60567","ZIP Code 80601","country:us/state:co/zip:80601","80601","2424","1172","8836","5980","2575","4701","1777","6607","0.9762848730037904","12125.829","7672","3206","4272","3101","3506","18"
"publicpolygonfeature:5:60569","ZIP Code 80603","country:us/state:co/zip:80603","80603","779","663","3123","2057","1619","1641","888","2336","0.5133004813446488","7329.933","3320","1658","2142","1215","1121","0"
"publicpolygonfeature:5:60580","ZIP Code 80640","country:us/state:co/zip:80640","80640","417","434","2756","2038","875","1763","682","2249","0.378980471338135","14831.2088","2662","898","2113","989","1260","0"
"publicpolygonfeature:5:60581","ZIP Code 80642","country:us/state:co/zip:80642","80642","252","294","908","692","314","578","64","892","0.8550838849396607","5273.0339","652","504","294","436","456","0"
"publicpolygonfeature:5:60590","ZIP Code 80701","country:us/state:co/zip:80701","80701","621","809","3611","2733","911","1183","700","2723","0.7537405704784191","6797.475","2586","920","1216","1292","1431","0"
