"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:45700","ZIP Code 40065","country:us/state:ky/zip:40065","40065","11838","1690","44","0","44","1690","11","5606","824","0","33","0","0","8","95","74","0","1985","21","8","866","8","0","15","11838","6232","80"
"publicpolygonfeature:5:45702","ZIP Code 40070","country:us/state:ky/zip:40070","40070","197","7","0","0","0","7","0","132","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","197","65","0"
"publicpolygonfeature:5:45703","ZIP Code 40071","country:us/state:ky/zip:40071","40071","6406","524","75","24","75","524","33","2932","234","0","42","0","24","15","67","0","24","1005","67","15","290","15","0","33","6406","3474","34"
"publicpolygonfeature:5:45704","ZIP Code 40075","country:us/state:ky/zip:40075","40075","292","49","0","0","0","49","0","121","31","0","0","6","0","0","20","0","0","74","14","0","18","0","0","20","292","171","0"
"publicpolygonfeature:5:45705","ZIP Code 40076","country:us/state:ky/zip:40076","40076","995","40","0","0","0","40","0","440","34","0","0","0","0","43","21","0","0","107","21","43","6","43","0","0","995","555","21"
"publicpolygonfeature:5:45706","ZIP Code 40077","country:us/state:ky/zip:40077","40077","206","15","5","0","5","15","5","111","0","0","0","0","0","0","0","0","0","43","0","0","15","0","0","0","206","95","0"
"publicpolygonfeature:5:45707","ZIP Code 40108","country:us/state:ky/zip:40108","40108","4975","387","87","0","87","387","29","2270","229","8","58","7","0","8","86","0","0","467","79","8","158","0","0","75","4975","2705","11"
"publicpolygonfeature:5:45709","ZIP Code 40104","country:us/state:ky/zip:40104","40104","322","12","0","0","0","12","0","140","0","0","0","0","0","0","0","0","0","47","0","0","12","0","0","0","322","182","0"
"publicpolygonfeature:5:45710","ZIP Code 40107","country:us/state:ky/zip:40107","40107","843","51","9","0","9","51","9","344","38","0","0","0","0","0","55","55","0","55","0","0","13","0","0","29","843","499","26"
"publicpolygonfeature:5:45711","ZIP Code 40109","country:us/state:ky/zip:40109","40109","658","117","33","0","33","117","22","268","47","7","11","0","0","12","9","0","0","169","9","12","70","5","0","0","658","390","9"
