"feature id","feature label","shid","geoid","Male Employed in Management Occupation (2020-2024)","Male Employed in Business and Finance Occupation (2020-2024)","Male Employed in Computer and Mathematical Occupation (2020-2024)","Male Employed in Architecture and Engineering Occupation (2020-2024)","Male Employed in Life, Physical, and Social Science Occupation (2020-2024)","Male Employed in Community and Social Service Occupation (2020-2024)","Male Employed in Legal Occupation (2020-2024)","Male Employed in Education, Training and Library Occupation (2020-2024)","Male Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Male Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Male Employed in Health Technologist and Technicians Occupation (2020-2024)","Male Employed in Healthcare Support Occupation (2020-2024)","Male Employed in Fire Fighting and Prevention Occupation (2020-2024)","Male Employed in Law Enforcement Occupation (2020-2024)","Male Employed in Food Preparation and Serving Occupation (2020-2024)","Male Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Male Employed in Personal Care and Service Occupation (2020-2024)","Male Employed in Sales Occupation (2020-2024)","Male Employed in Office and Administrative Support Occupation (2020-2024)","Male Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Male Employed in Construction and Extraction Occupation (2020-2024)","Male Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Male Employed in Production Occupation (2020-2024)","Male Employed in Transportation Occupation (2020-2024)","Male Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:46468","ZIP Code 43148","country:us/state:oh/zip:43148","43148","19","35","43","0","1","5","0","12","0","2","0","0","0","24","26","5","0","36","27","0","80","17","37","28","47"
"publicpolygonfeature:5:46469","ZIP Code 43152","country:us/state:oh/zip:43152","43152","25","0","13","0","0","0","0","0","8","0","0","37","0","0","9","8","0","16","0","0","37","40","63","0","0"
"publicpolygonfeature:5:46470","ZIP Code 43153","country:us/state:oh/zip:43153","43153","36","0","0","5","0","0","0","0","7","79","0","0","7","5","15","17","0","5","0","6","12","35","28","21","19"
"publicpolygonfeature:5:46471","ZIP Code 43154","country:us/state:oh/zip:43154","43154","72","32","26","9","8","10","0","16","0","22","13","0","1","21","24","26","3","73","14","10","109","14","39","70","36"
"publicpolygonfeature:5:46472","ZIP Code 43155","country:us/state:oh/zip:43155","43155","103","25","0","14","11","8","0","13","18","5","0","0","8","9","0","30","0","69","41","0","60","54","0","20","12"
"publicpolygonfeature:5:46474","ZIP Code 43162","country:us/state:oh/zip:43162","43162","205","111","37","53","4","9","0","77","18","0","10","10","70","26","47","54","0","137","79","6","128","105","307","123","274"
"publicpolygonfeature:5:46475","ZIP Code 43164","country:us/state:oh/zip:43164","43164","118","10","3","0","5","0","32","6","0","0","3","0","0","6","41","4","0","27","15","0","115","64","40","25","50"
"publicpolygonfeature:5:46476","ZIP Code 43201","country:us/state:oh/zip:43201","43201","1020","582","949","358","235","85","165","1122","372","375","159","30","135","6","910","266","265","1073","728","0","325","223","433","308","473"
"publicpolygonfeature:5:46477","ZIP Code 43202","country:us/state:oh/zip:43202","43202","558","479","582","185","215","171","70","582","129","58","61","9","47","16","449","286","159","784","749","0","311","164","209","487","578"
"publicpolygonfeature:5:46478","ZIP Code 43203","country:us/state:oh/zip:43203","43203","218","153","43","51","9","117","60","53","37","10","34","0","20","0","83","119","43","257","225","0","121","33","144","124","145"
"publicpolygonfeature:5:46479","ZIP Code 43221","country:us/state:oh/zip:43221","43221","1486","692","1221","365","360","75","229","427","302","524","86","5","124","68","256","223","48","943","753","0","249","268","276","181","295"
