"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:41869","ZIP Code 33135","country:us/state:fl/zip:33135","33135","599","254","86","22","46","95","88","441","160","341","92","556","73","0","629","1435","641","916","941","0","156","10","228","214","138"
"publicpolygonfeature:5:41877","ZIP Code 33136","country:us/state:fl/zip:33136","33136","313","161","16","37","36","19","95","247","41","155","58","133","64","0","271","295","228","502","877","0","0","0","19","224","132"
"publicpolygonfeature:5:41884","ZIP Code 33137","country:us/state:fl/zip:33137","33137","1215","762","116","108","22","31","260","435","456","455","0","238","63","115","402","442","170","1292","961","0","0","0","19","67","103"
"publicpolygonfeature:5:41890","ZIP Code 33138","country:us/state:fl/zip:33138","33138","814","595","128","39","31","87","302","313","337","296","221","481","0","74","301","311","564","1328","559","0","0","0","151","137","40"
"publicpolygonfeature:5:41891","ZIP Code 33139","country:us/state:fl/zip:33139","33139","1127","877","98","58","203","67","267","314","355","452","94","89","0","8","1057","414","170","885","643","0","0","0","146","84","28"
"publicpolygonfeature:5:41896","ZIP Code 33140","country:us/state:fl/zip:33140","33140","582","513","49","6","96","168","91","265","302","323","83","36","0","0","208","154","202","756","515","0","19","15","18","83","0"
"publicpolygonfeature:5:41899","ZIP Code 33141","country:us/state:fl/zip:33141","33141","1190","462","108","0","11","134","164","605","589","520","174","445","71","0","1032","1412","364","1416","1151","0","30","74","97","144","72"
"publicpolygonfeature:5:41902","ZIP Code 33142","country:us/state:fl/zip:33142","33142","577","439","58","0","0","256","89","700","116","413","303","976","439","0","852","1851","354","1138","1935","63","109","0","528","167","388"
"publicpolygonfeature:5:41909","ZIP Code 33143","country:us/state:fl/zip:33143","33143","1273","617","189","74","157","201","426","863","348","718","209","283","0","0","24","767","397","640","1030","0","43","0","2","14","109"
"publicpolygonfeature:5:41914","ZIP Code 33144","country:us/state:fl/zip:33144","33144","381","263","42","13","25","38","104","522","45","209","89","650","32","0","339","602","104","566","963","9","92","22","161","185","150"
"publicpolygonfeature:5:41915","ZIP Code 33145","country:us/state:fl/zip:33145","33145","1070","469","76","50","88","92","187","774","227","504","122","189","30","10","492","357","298","679","1309","0","19","0","116","137","68"
"publicpolygonfeature:5:41917","ZIP Code 33146","country:us/state:fl/zip:33146","33146","648","477","235","118","77","95","325","346","132","340","24","82","75","0","247","77","162","456","294","0","0","18","31","0","43"
"publicpolygonfeature:5:41918","ZIP Code 33147","country:us/state:fl/zip:33147","33147","421","162","109","0","0","432","46","761","43","519","222","800","209","91","609","933","402","987","1787","24","28","38","355","406","308"
"publicpolygonfeature:5:41922","ZIP Code 33149","country:us/state:fl/zip:33149","33149","688","485","14","10","62","21","150","316","82","185","7","73","5","0","9","36","178","359","161","0","13","0","14","42","13"
"publicpolygonfeature:5:41945","ZIP Code 33150","country:us/state:fl/zip:33150","33150","499","235","56","0","0","121","27","412","54","185","274","314","394","112","551","843","114","602","1014","0","117","10","277","146","130"
"publicpolygonfeature:5:41947","ZIP Code 33154","country:us/state:fl/zip:33154","33154","562","221","2","0","26","24","90","354","235","192","13","128","0","0","170","175","244","313","419","0","72","0","0","13","0"
"publicpolygonfeature:5:41951","ZIP Code 33155","country:us/state:fl/zip:33155","33155","1501","620","85","82","90","193","551","719","411","674","539","644","116","15","545","636","474","993","2316","22","53","108","217","62","61"
"publicpolygonfeature:5:41956","ZIP Code 33156","country:us/state:fl/zip:33156","33156","1055","494","122","39","143","184","569","676","236","592","38","109","0","21","172","392","311","937","1248","8","0","0","18","29","61"
"publicpolygonfeature:5:41999","ZIP Code 33175","country:us/state:fl/zip:33175","33175","1089","688","197","31","179","270","214","962","148","1006","286","564","65","0","426","511","474","1541","2429","0","64","0","171","112","176"
