"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:41696","ZIP Code 28660","country:us/state:nc/zip:28660","28660","58","131","61","127","0","17","39","1","50","0","0","22","0","0","8","0","59","13","0","1","17","20","0","208"
"publicpolygonfeature:5:41741","ZIP Code 28677","country:us/state:nc/zip:28677","28677","2030","5152","3624","4631","768","1113","47","155","966","3756","233","3081","78","88","3160","0","399","507","1982","158","1237","187","0","799"
"publicpolygonfeature:5:41750","ZIP Code 28625","country:us/state:nc/zip:28625","28625","1931","3967","2437","3932","2410","1256","183","394","859","67","259","1712","70","295","2950","16","346","330","106","83","3956","414","213","789"
"publicpolygonfeature:5:41754","ZIP Code 28634","country:us/state:nc/zip:28634","28634","76","142","98","174","56","42","6","3","50","0","10","52","0","0","109","0","67","16","2","5","121","31","0","67"
"publicpolygonfeature:5:41764","ZIP Code 28678","country:us/state:nc/zip:28678","28678","40","116","83","104","4","36","17","0","66","34","4","9","4","0","149","0","39","26","0","3","21","1","0","10"
"publicpolygonfeature:5:41770","ZIP Code 28650","country:us/state:nc/zip:28650","28650","468","1034","637","975","157","345","15","49","284","260","47","47","19","0","1326","1","74","31","105","7","953","182","0","57"
"publicpolygonfeature:5:41800","ZIP Code 28689","country:us/state:nc/zip:28689","28689","52","75","32","77","0","12","34","0","25","3","1","2","0","0","148","0","0","14","0","0","23","7","0","22"
"publicpolygonfeature:5:41923","ZIP Code 29014","country:us/state:sc/zip:29014","29014","18","32","22","36","0","4","0","0","8","0","0","0","0","0","0","0","3","0","0","0","120","2","1","36"
"publicpolygonfeature:5:41935","ZIP Code 29031","country:us/state:sc/zip:29031","29031","25","34","18","40","0","0","0","0","0","0","0","2","0","0","83","0","12","0","0","0","9","19","0","0"
"publicpolygonfeature:5:41955","ZIP Code 29055","country:us/state:sc/zip:29055","29055","110","203","102","200","4","0","0","5","404","0","4","15","5","0","90","7","88","1","28","0","68","0","10","7"
"publicpolygonfeature:5:41959","ZIP Code 29058","country:us/state:sc/zip:29058","29058","132","206","106","253","18","0","43","0","44","45","3","73","0","0","483","2","4","8","12","1","61","3","0","75"
